Source,Target,Weight
Andrenidae (Dour),Fabaceae (Dour),4
Andrenidae (Dzier_ys_aw),Asteraceae (Dzier_ys_aw),3
Andrenidae (East Leinster (Ireland)),Apiaceae (East Leinster (Ireland)),4
Andrenidae (East Leinster (Ireland)),Fabaceae (East Leinster (Ireland)),3
Andrenidae (East Leinster (Ireland)),Plantaginaceae (East Leinster (Ireland)),1
Andrenidae (East Leinster (Ireland)),Rosaceae (East Leinster (Ireland)),3
Andrenidae (East Leinster (Ireland)),Scrophulariaceae (East Leinster (Ireland)),1
Andrenidae (East Leinster (Ireland)),Viburnaceae (East Leinster (Ireland)),1
Andrenidae (El_pinar),Cistaceae (El_pinar),3
Andrenidae (El_pinar),Lamiaceae (El_pinar),2
Andrenidae (El_pozo),Cistaceae (El_pozo),2
Andrenidae (Endingen),Asteraceae (Endingen),7
Andrenidae (Endingen),Fabaceae (Endingen),4
Andrenidae (EsCabanells),Cistaceae (EsCabanells),1
Andrenidae (EsCapdella),Apiaceae (EsCapdella),3
Andrenidae (EsCapdella),Asteraceae (EsCapdella),2
Andrenidae (EsCapdella),Cistaceae (EsCapdella),4
Andrenidae (EsCapdella),Euphorbiaceae (EsCapdella),1
Andrenidae (EsCapdella),Fabaceae (EsCapdella),1
Andrenidae (EsCapdella),Lamiaceae (EsCapdella),1
Andrenidae (EsCapdella),Resedaceae (EsCapdella),1
Andrenidae (Esporles),Asphodelaceae (Esporles),3
Andrenidae (Farms in south-east Ireland),Apiaceae (Farms in south-east Ireland),2
Andrenidae (Farms in south-east Ireland),Asteraceae (Farms in south-east Ireland),6
Andrenidae (Farms in south-east Ireland),Ranunculaceae (Farms in south-east Ireland),1
Andrenidae (Farms in south-east Ireland),Rosaceae (Farms in south-east Ireland),12
Andrenidae (Fonzaso),Asteraceae (Fonzaso),1
Andrenidae (Fonzaso),Brassicaceae (Fonzaso),10
Andrenidae (Frick),Asteraceae (Frick),3
Andrenidae (Frick),Fabaceae (Frick),3
Andrenidae (Frick),Ranunculaceae (Frick),1
Andrenidae (Friedeburg),Apiaceae (Friedeburg),1
Andrenidae (Friedeburg),Asteraceae (Friedeburg),3
Andrenidae (Friedeburg),Brassicaceae (Friedeburg),11
Andrenidae (Friedeburg),Caryophyllaceae (Friedeburg),1
Andrenidae (Friedeburg),Rosaceae (Friedeburg),3
Andrenidae (Friesen),Plantaginaceae (Friesen),1
Andrenidae (Friesen),Ranunculaceae (Friesen),2
Andrenidae (Ghe_ari Village),Apiaceae (Ghe_ari Village),4
Andrenidae (Ghe_ari Village),Asteraceae (Ghe_ari Village),7
Andrenidae (Ghe_ari Village),Caprifoliaceae (Ghe_ari Village),3
Andrenidae (Ghe_ari Village),Fabaceae (Ghe_ari Village),19
Andrenidae (Ghe_ari Village),Lamiaceae (Ghe_ari Village),1
Andrenidae (Ghe_ari Village),Rosaceae (Ghe_ari Village),1
Andrenidae (Ghetari),Asteraceae (Ghetari),2
Andrenidae (Gimritz),Apiaceae (Gimritz),4
Andrenidae (Gimritz),Asteraceae (Gimritz),8
Andrenidae (Gimritz),Brassicaceae (Gimritz),18
Andrenidae (Gimritz),Rosaceae (Gimritz),1
Andrenidae (Giverny),Amaryllidaceae (Giverny),2
Andrenidae (Giverny),Apiaceae (Giverny),1
Andrenidae (Giverny),Asteraceae (Giverny),17
Andrenidae (Giverny),Brassicaceae (Giverny),1
Andrenidae (Giverny),Cistaceae (Giverny),12
Andrenidae (Giverny),Cupressaceae (Giverny),13
Andrenidae (Giverny),Fabaceae (Giverny),2
Andrenidae (Giverny),Linaceae (Giverny),4
Andrenidae (Giverny),Resedaceae (Giverny),5
Andrenidae (Goettingen),Apiaceae (Goettingen),29
Andrenidae (Goettingen),Asteraceae (Goettingen),17
Andrenidae (Goettingen),Campanulaceae (Goettingen),9
Andrenidae (Goettingen),Caprifoliaceae (Goettingen),3
Andrenidae (Goettingen),Cistaceae (Goettingen),3
Andrenidae (Goettingen),Convolvulaceae (Goettingen),1
Andrenidae (Goettingen),Crassulaceae (Goettingen),2
Andrenidae (Goettingen),Fabaceae (Goettingen),8
Andrenidae (Goettingen),Lamiaceae (Goettingen),7
Andrenidae (Goettingen),Orchidaceae (Goettingen),1
Andrenidae (Goettingen),Plantaginaceae (Goettingen),13
Andrenidae (Goettingen),Ranunculaceae (Goettingen),1
Andrenidae (Goettingen),Rosaceae (Goettingen),19
Andrenidae (Goettingen),Rubiaceae (Goettingen),1
Andrenidae (Greifenhagen),Apiaceae (Greifenhagen),5
Andrenidae (Greifenhagen),Asteraceae (Greifenhagen),7
Andrenidae (Greifenhagen),Fabaceae (Greifenhagen),2
Andrenidae (Greifenhagen),Lamiaceae (Greifenhagen),1
Andrenidae (Grigno),Fabaceae (Grigno),1
Andrenidae (Grigno),Ranunculaceae (Grigno),1
Andrenidae (Grouches Luchuel),Apiaceae (Grouches Luchuel),5
Andrenidae (Grouches Luchuel),Asteraceae (Grouches Luchuel),5
Andrenidae (Grouches Luchuel),Cupressaceae (Grouches Luchuel),1
Andrenidae (Grouches Luchuel),Cyperaceae (Grouches Luchuel),1
Andrenidae (Grouches Luchuel),Fabaceae (Grouches Luchuel),6
Andrenidae (Grouches Luchuel),Gentianaceae (Grouches Luchuel),1
Andrenidae (Grouches Luchuel),Primulaceae (Grouches Luchuel),4
Andrenidae (Grouches Luchuel),Ranunculaceae (Grouches Luchuel),4
Andrenidae (Grouches Luchuel),Resedaceae (Grouches Luchuel),1
Andrenidae (Grouches Luchuel),Rosaceae (Grouches Luchuel),6
Andrenidae (Grouches Luchuel),Rubiaceae (Grouches Luchuel),1
Andrenidae (Großenohe),Fabaceae (Großenohe),2
Andrenidae (Halle),Apiaceae (Halle),3
Andrenidae (Halle),Asparagaceae (Halle),3
Andrenidae (Halle),Asteraceae (Halle),14
Andrenidae (Halle),Brassicaceae (Halle),3
Andrenidae (Halle),Fabaceae (Halle),2
Andrenidae (Halle),Plantaginaceae (Halle),4
Andrenidae (Halle),Rosaceae (Halle),2
Andrenidae (Harmignies),Apiaceae (Harmignies),4
Andrenidae (Harmignies),Asteraceae (Harmignies),4
Andrenidae (Harmignies),Cucurbitaceae (Harmignies),12
Andrenidae (Harmignies),Fabaceae (Harmignies),18
Andrenidae (Harmignies),Rosaceae (Harmignies),2
Andrenidae (Harzgerode),Apiaceae (Harzgerode),11
Andrenidae (Harzgerode),Fabaceae (Harzgerode),2
Andrenidae (Harzgerode),Hypericaceae (Harzgerode),3
Andrenidae (Harzgerode),Plantaginaceae (Harzgerode),8
Andrenidae (Harzgerode),Ranunculaceae (Harzgerode),1
Andrenidae (Harzgerode),Rosaceae (Harzgerode),1
Andrenidae (Harzgerode),Saxifragaceae (Harzgerode),1
Andrenidae (Havré),Apiaceae (Havré),4
Andrenidae (Havré),Asteraceae (Havré),7
Andrenidae (Havré),Boraginaceae (Havré),4
Andrenidae (Havré),Fabaceae (Havré),4
Andrenidae (Hermanovice),Apiaceae (Hermanovice),1
Andrenidae (Hermanovice),Fabaceae (Hermanovice),2
Andrenidae (Hermanovice),Ranunculaceae (Hermanovice),1
Andrenidae (Hohe Leite),Fabaceae (Hohe Leite),1
Andrenidae (Horbylunde_2005),Ericaceae (Horbylunde_2005),23
Andrenidae (Hruba_Vrbka),Fabaceae (Hruba_Vrbka),8
Andrenidae (Hyon),Apiaceae (Hyon),2
Andrenidae (Hyon),Asteraceae (Hyon),10
Andrenidae (Hyon),Fabaceae (Hyon),17
Andrenidae (Imer),Apiaceae (Imer),1
Andrenidae (Imer),Asteraceae (Imer),1
Andrenidae (Imer),Brassicaceae (Imer),20
Andrenidae (Imer),Crassulaceae (Imer),1
Andrenidae (Imer),Fabaceae (Imer),1
Andrenidae (Imer),Onagraceae (Imer),1
Andrenidae (Imer),Rubiaceae (Imer),1
Andrenidae (Isen_Bjerg_2004),Asteraceae (Isen_Bjerg_2004),2
Andrenidae (Isen_Bjerg_2004),Ericaceae (Isen_Bjerg_2004),24
Andrenidae (Isen_Bjerg_2004),Salicaceae (Isen_Bjerg_2004),41
Andrenidae (Isen_Bjerg_2005),Ericaceae (Isen_Bjerg_2005),18
Andrenidae (Isen_Bjerg_2005),Fabaceae (Isen_Bjerg_2005),2
Andrenidae (Isen_Bjerg_2005),Rosaceae (Isen_Bjerg_2005),1
Andrenidae (Isen_Bjerg_2005),Salicaceae (Isen_Bjerg_2005),53
Andrenidae (Isola Vicentina),Campanulaceae (Isola Vicentina),15
Andrenidae (Isola Vicentina),Fabaceae (Isola Vicentina),2
Andrenidae (Isola Vicentina),Geraniaceae (Isola Vicentina),1
Andrenidae (Janské Lázně),Ranunculaceae (Janské Lázně),1
Andrenidae (Kainach),Linaceae (Kainach),1
Andrenidae (Kea),Asteraceae (Kea),13
Andrenidae (Kea),Boraginaceae (Kea),1
Andrenidae (Kea),Lamiaceae (Kea),2
Andrenidae (Kittil),Onagraceae (Kittil),1
Andrenidae (Kleinziegenfeld),Crassulaceae (Kleinziegenfeld),2
Andrenidae (Kleinziegenfeld),Lamiaceae (Kleinziegenfeld),1
Andrenidae (Klobikau),Apiaceae (Klobikau),4
Andrenidae (Klobikau),Asteraceae (Klobikau),2
Andrenidae (Klobikau),Brassicaceae (Klobikau),1
Andrenidae (Klobikau),Convolvulaceae (Klobikau),1
Andrenidae (Klobikau),Resedaceae (Klobikau),1
Andrenidae (Klobikau),Rosaceae (Klobikau),10
Andrenidae (Kythnos),Asteraceae (Kythnos),5
Andrenidae (Kythnos),Brassicaceae (Kythnos),2
Andrenidae (Kythnos),Lamiaceae (Kythnos),3
Andrenidae (Köttel),Plantaginaceae (Köttel),2
Andrenidae (La Louvière),Apiaceae (La Louvière),3
Andrenidae (La Louvière),Asteraceae (La Louvière),5
Andrenidae (La Louvière),Boraginaceae (La Louvière),1
Andrenidae (La Louvière),Ranunculaceae (La Louvière),1
Andrenidae (La Louvière),Rosaceae (La Louvière),1
Andrenidae (La_cunya),Asteraceae (La_cunya),3
Andrenidae (La_cunya),Ericaceae (La_cunya),2
Andrenidae (La_rocina),Cistaceae (La_rocina),8
Andrenidae (Laelatu),Apiaceae (Laelatu),1
Andrenidae (Lammi),Asteraceae (Lammi),2
Andrenidae (Lammi),Ranunculaceae (Lammi),3
Andrenidae (Lammi),Rosaceae (Lammi),1
Andrenidae (Las_mulas),Cistaceae (Las_mulas),44
Andrenidae (Las_mulas),Ranunculaceae (Las_mulas),3
Andrenidae (Leidingshof),Plantaginaceae (Leidingshof),2
Andrenidae (Les Andelys),Apiaceae (Les Andelys),1
Andrenidae (Les Andelys),Asparagaceae (Les Andelys),2
Andrenidae (Les Andelys),Asteraceae (Les Andelys),37
Andrenidae (Les Andelys),Cistaceae (Les Andelys),27
Andrenidae (Les Andelys),Cupressaceae (Les Andelys),4
Andrenidae (Les Andelys),Euphorbiaceae (Les Andelys),4
Andrenidae (Les Andelys),Fabaceae (Les Andelys),2
Andrenidae (Les Andelys),Lamiaceae (Les Andelys),1
Andrenidae (Les Andelys),Linaceae (Les Andelys),2
Andrenidae (Les Andelys),Orchidaceae (Les Andelys),4
Andrenidae (Les Andelys),Orobanchaceae (Les Andelys),1
Andrenidae (Les Andelys),Ranunculaceae (Les Andelys),1
Andrenidae (Les Andelys),Rosaceae (Les Andelys),2
Andrenidae (Lesvos),Apiaceae (Lesvos),1
Andrenidae (Lesvos),Asphodelaceae (Lesvos),2
Andrenidae (Lesvos),Asteraceae (Lesvos),29
Andrenidae (Lesvos),Brassicaceae (Lesvos),16
Andrenidae (Lesvos),Campanulaceae (Lesvos),1
Andrenidae (Lesvos),Caryophyllaceae (Lesvos),1
Andrenidae (Lesvos),Plantaginaceae (Lesvos),2
Andrenidae (Lesvos),Ranunculaceae (Lesvos),2
Andrenidae (Lumea Pierduta),Fabaceae (Lumea Pierduta),1
Andrenidae (Luna de Jos),Apiaceae (Luna de Jos),2
Andrenidae (Luna de Jos),Asteraceae (Luna de Jos),13
Andrenidae (Luna de Jos),Fabaceae (Luna de Jos),3
Andrenidae (Luna de Jos),Plantaginaceae (Luna de Jos),1
Andrenidae (Macicasu),Asteraceae (Macicasu),1
Andrenidae (Macicasu),Fabaceae (Macicasu),7
Andrenidae (Macicasu),Hypericaceae (Macicasu),1
Andrenidae (Macicasu),Lamiaceae (Macicasu),1
Andrenidae (Macicasu),Linaceae (Macicasu),1
Andrenidae (Macicasu),Plantaginaceae (Macicasu),1
Andrenidae (Magdeburg),Amaryllidaceae (Magdeburg),2
Andrenidae (Magdeburg),Apiaceae (Magdeburg),9
Andrenidae (Magdeburg),Asteraceae (Magdeburg),15
Andrenidae (Magdeburg),Fabaceae (Magdeburg),6
Andrenidae (Magdeburg),Rosaceae (Magdeburg),3
Andrenidae (Maisières),Hypericaceae (Maisières),1
Andrenidae (Maisières),Resedaceae (Maisières),1
Andrenidae (Menorca),Apiaceae (Menorca),2
Andrenidae (Menorca),Asteraceae (Menorca),20
Andrenidae (Menorca),Boraginaceae (Menorca),7
Andrenidae (Menorca),Brassicaceae (Menorca),3
Andrenidae (Menorca),Caprifoliaceae (Menorca),3
Andrenidae (Menorca),Convolvulaceae (Menorca),1
Andrenidae (Menorca),Fabaceae (Menorca),39
Andrenidae (Menorca),Lamiaceae (Menorca),98
Andrenidae (Menorca),Malvaceae (Menorca),1
Andrenidae (Menorca),Orobanchaceae (Menorca),1
Andrenidae (Menorca),Papaveraceae (Menorca),1
Andrenidae (Menorca),Plumbaginaceae (Menorca),5
Andrenidae (Menorca),Resedaceae (Menorca),8
Andrenidae (Menorca),Rosaceae (Menorca),7
Andrenidae (Mettauertal),Apiaceae (Mettauertal),1
Andrenidae (Mettauertal),Asteraceae (Mettauertal),4
Andrenidae (Mettauertal),Fabaceae (Mettauertal),7
Andrenidae (Milíkov),Brassicaceae (Milíkov),1
Andrenidae (Mnichov),Caprifoliaceae (Mnichov),2
Andrenidae (Mnichov),Caryophyllaceae (Mnichov),1
Andrenidae (Mons),Apiaceae (Mons),10
Andrenidae (Mons),Asteraceae (Mons),42
Andrenidae (Mons),Boraginaceae (Mons),2
Andrenidae (Mons),Convolvulaceae (Mons),7
Andrenidae (Mons),Cornaceae (Mons),1
Andrenidae (Mons),Cucurbitaceae (Mons),1
Andrenidae (Mons),Fabaceae (Mons),27
Andrenidae (Mons),Geraniaceae (Mons),2
Andrenidae (Mons),Hypericaceae (Mons),1
Andrenidae (Mons),Lamiaceae (Mons),1
Andrenidae (Mons),Malvaceae (Mons),1
Andrenidae (Mons),Rosaceae (Mons),3
Andrenidae (Mons),Solanaceae (Mons),1
Andrenidae (MontiSion),Cistaceae (MontiSion),7
Andrenidae (MontiSion),Lamiaceae (MontiSion),2
Andrenidae (Muro),Asteraceae (Muro),2
Andrenidae (Muro),Fabaceae (Muro),1
Andrenidae (Nervesa della Battaglia),Apiaceae (Nervesa della Battaglia),2
Andrenidae (Nesměř),Fabaceae (Nesměř),1
Andrenidae (Neubürg),Brassicaceae (Neubürg),5
Andrenidae (Neubürg),Caprifoliaceae (Neubürg),2
Andrenidae (Neubürg),Fabaceae (Neubürg),1
Andrenidae (Neubürg),Plantaginaceae (Neubürg),1
Andrenidae (Niebla),Apiaceae (Niebla),4
Andrenidae (Niebla),Asteraceae (Niebla),3
Andrenidae (Niebla),Cistaceae (Niebla),5
Andrenidae (Niebla),Lamiaceae (Niebla),2
Andrenidae (Noeux-lès-Auxi),Apiaceae (Noeux-lès-Auxi),3
Andrenidae (Noeux-lès-Auxi),Asteraceae (Noeux-lès-Auxi),4
Andrenidae (Noeux-lès-Auxi),Caprifoliaceae (Noeux-lès-Auxi),1
Andrenidae (Noeux-lès-Auxi),Cupressaceae (Noeux-lès-Auxi),1
Andrenidae (Noeux-lès-Auxi),Fabaceae (Noeux-lès-Auxi),11
Andrenidae (Noeux-lès-Auxi),Orchidaceae (Noeux-lès-Auxi),1
Andrenidae (Noeux-lès-Auxi),Polygalaceae (Noeux-lès-Auxi),1
Andrenidae (Noeux-lès-Auxi),Primulaceae (Noeux-lès-Auxi),1
Andrenidae (Noeux-lès-Auxi),Ranunculaceae (Noeux-lès-Auxi),3
Andrenidae (Nouvelles),Apiaceae (Nouvelles),4
Andrenidae (Nouvelles),Geraniaceae (Nouvelles),2
Andrenidae (Oberailsfeld),Caprifoliaceae (Oberailsfeld),1
Andrenidae (Obourg),Asteraceae (Obourg),4
Andrenidae (Obourg),Fabaceae (Obourg),20
Andrenidae (Obourg),Rosaceae (Obourg),4
Andrenidae (Ocoale),Caryophyllaceae (Ocoale),1
Andrenidae (Orozko),Asteraceae (Orozko),2
Andrenidae (Orozko),Brassicaceae (Orozko),2
Andrenidae (Orozko),Caryophyllaceae (Orozko),1
Andrenidae (Orozko),Ericaceae (Orozko),3
Andrenidae (Orozko),Fabaceae (Orozko),6
Andrenidae (Orozko),Lamiaceae (Orozko),2
Andrenidae (Orozko),Plantaginaceae (Orozko),2
Andrenidae (Orozko),Rosaceae (Orozko),15
Andrenidae (Oschersleben),Apiaceae (Oschersleben),17
Andrenidae (Oschersleben),Asteraceae (Oschersleben),5
Andrenidae (Oschersleben),Convolvulaceae (Oschersleben),2
