nodes_removed,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length,average_degree,average_weighted_degree,degree_distribution,weighted_degree_distribution
35,29,11,1.9654545454545456,0.7555555555555555,2.0,"{2: 7, 0: 25, 4: 1, 1: 10, 3: 2}","{17: 1, 0: 25, 2: 6, 13: 1, 1: 6, 5: 2, 21: 1, 4: 2, 3: 1}"
36,30,8,1.725,0.6818181818181818,1.2727272727272727,"{0: 25, 2: 4, 4: 1, 1: 12, 3: 2}","{0: 25, 2: 5, 13: 1, 1: 7, 5: 3, 4: 2, 3: 1}"
37,29,8,1.725,0.6976744186046512,1.302325581395349,"{2: 4, 4: 1, 1: 12, 0: 24, 3: 2}","{2: 5, 13: 1, 1: 7, 0: 24, 5: 3, 4: 2, 3: 1}"
38,30,6,1.1666666666666667,0.6190476190476191,1.2380952380952381,"{4: 1, 1: 11, 0: 25, 2: 4, 3: 1}","{13: 1, 1: 6, 0: 25, 2: 5, 5: 3, 4: 2}"
39,33,5,1.1333333333333333,0.43902439024390244,0.6341463414634146,"{1: 9, 0: 28, 2: 3, 3: 1}","{1: 7, 0: 28, 2: 3, 5: 1, 4: 2}"
40,33,5,1.1333333333333333,0.4,0.6,"{1: 7, 0: 29, 2: 3, 3: 1}","{1: 5, 0: 29, 2: 3, 5: 1, 4: 2}"
41,33,5,1.1333333333333333,0.358974358974359,0.5641025641025641,"{0: 30, 1: 5, 2: 3, 3: 1}","{0: 30, 2: 3, 5: 1, 1: 3, 4: 2}"
42,32,5,1.1333333333333333,0.3684210526315789,0.5789473684210527,"{0: 29, 1: 5, 2: 3, 3: 1}","{0: 29, 2: 3, 5: 1, 1: 3, 4: 2}"
43,31,5,1.1333333333333333,0.3783783783783784,0.5945945945945946,"{1: 5, 0: 28, 2: 3, 3: 1}","{2: 3, 0: 28, 5: 1, 1: 3, 4: 2}"
44,31,5,1.1333333333333333,0.3333333333333333,0.5,"{0: 29, 2: 3, 1: 3, 3: 1}","{0: 29, 5: 1, 1: 3, 2: 1, 4: 2}"
45,30,5,1.1333333333333333,0.34285714285714286,0.5142857142857142,"{2: 3, 0: 28, 1: 3, 3: 1}","{5: 1, 0: 28, 1: 3, 2: 1, 4: 2}"
46,30,4,1.6666666666666667,0.23529411764705882,0.23529411764705882,"{0: 28, 1: 4, 2: 2}","{0: 28, 1: 4, 2: 2}"
47,29,4,1.6666666666666667,0.24242424242424243,0.24242424242424243,"{0: 27, 1: 4, 2: 2}","{0: 27, 1: 4, 2: 2}"
48,28,4,1.6666666666666667,0.25,0.25,"{0: 26, 1: 4, 2: 2}","{0: 26, 1: 4, 2: 2}"
49,27,4,1.6666666666666667,0.25806451612903225,0.25806451612903225,"{1: 4, 0: 25, 2: 2}","{1: 4, 0: 25, 2: 2}"
50,27,3,1.3333333333333333,0.2,0.2,"{1: 4, 0: 25, 2: 1}","{1: 4, 0: 25, 2: 1}"
51,27,3,1.3333333333333333,0.13793103448275862,0.13793103448275862,"{0: 26, 2: 1, 1: 2}","{0: 26, 2: 1, 1: 2}"
52,26,3,1.3333333333333333,0.14285714285714285,0.14285714285714285,"{0: 25, 2: 1, 1: 2}","{0: 25, 2: 1, 1: 2}"
53,25,3,1.3333333333333333,0.14814814814814814,0.14814814814814814,"{0: 24, 2: 1, 1: 2}","{0: 24, 2: 1, 1: 2}"
54,24,3,1.3333333333333333,0.15384615384615385,0.15384615384615385,"{2: 1, 0: 23, 1: 2}","{2: 1, 0: 23, 1: 2}"
55,25,1,0.0,0.0,0.0,{0: 25},{0: 25}
56,24,1,0.0,0.0,0.0,{0: 24},{0: 24}
57,23,1,0.0,0.0,0.0,{0: 23},{0: 23}
58,22,1,0.0,0.0,0.0,{0: 22},{0: 22}
59,21,1,0.0,0.0,0.0,{0: 21},{0: 21}
60,20,1,0.0,0.0,0.0,{0: 20},{0: 20}
61,19,1,0.0,0.0,0.0,{0: 19},{0: 19}
62,18,1,0.0,0.0,0.0,{0: 18},{0: 18}
63,17,1,0.0,0.0,0.0,{0: 17},{0: 17}
64,16,1,0.0,0.0,0.0,{0: 16},{0: 16}
65,15,1,0.0,0.0,0.0,{0: 15},{0: 15}
66,14,1,0.0,0.0,0.0,{0: 14},{0: 14}
67,13,1,0.0,0.0,0.0,{0: 13},{0: 13}
68,12,1,0.0,0.0,0.0,{0: 12},{0: 12}
69,11,1,0.0,0.0,0.0,{0: 11},{0: 11}
70,10,1,0.0,0.0,0.0,{0: 10},{0: 10}
71,9,1,0.0,0.0,0.0,{0: 9},{0: 9}
72,8,1,0.0,0.0,0.0,{0: 8},{0: 8}
73,7,1,0.0,0.0,0.0,{0: 7},{0: 7}
74,6,1,0.0,0.0,0.0,{0: 6},{0: 6}
75,5,1,0.0,0.0,0.0,{0: 5},{0: 5}
76,4,1,0.0,0.0,0.0,{0: 4},{0: 4}
77,3,1,0.0,0.0,0.0,{0: 3},{0: 3}
78,2,1,0.0,0.0,0.0,{0: 2},{0: 2}
79,1,1,0.0,0.0,0.0,{0: 1},{0: 1}
80,0,0,inf,0.0,0.0,{},{}
