nodes_removed,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length,average_degree,average_weighted_degree,degree_distribution,weighted_degree_distribution
58,25,1,0.0,0.0,0.0,{0: 25},{0: 25}
59,24,1,0.0,0.0,0.0,{0: 24},{0: 24}
60,23,1,0.0,0.0,0.0,{0: 23},{0: 23}
61,22,1,0.0,0.0,0.0,{0: 22},{0: 22}
62,21,1,0.0,0.0,0.0,{0: 21},{0: 21}
63,20,1,0.0,0.0,0.0,{0: 20},{0: 20}
64,19,1,0.0,0.0,0.0,{0: 19},{0: 19}
65,18,1,0.0,0.0,0.0,{0: 18},{0: 18}
66,17,1,0.0,0.0,0.0,{0: 17},{0: 17}
67,16,1,0.0,0.0,0.0,{0: 16},{0: 16}
68,15,1,0.0,0.0,0.0,{0: 15},{0: 15}
69,14,1,0.0,0.0,0.0,{0: 14},{0: 14}
70,13,1,0.0,0.0,0.0,{0: 13},{0: 13}
71,12,1,0.0,0.0,0.0,{0: 12},{0: 12}
72,11,1,0.0,0.0,0.0,{0: 11},{0: 11}
73,10,1,0.0,0.0,0.0,{0: 10},{0: 10}
74,9,1,0.0,0.0,0.0,{0: 9},{0: 9}
75,8,1,0.0,0.0,0.0,{0: 8},{0: 8}
76,7,1,0.0,0.0,0.0,{0: 7},{0: 7}
77,6,1,0.0,0.0,0.0,{0: 6},{0: 6}
78,5,1,0.0,0.0,0.0,{0: 5},{0: 5}
79,4,1,0.0,0.0,0.0,{0: 4},{0: 4}
80,3,1,0.0,0.0,0.0,{0: 3},{0: 3}
81,2,1,0.0,0.0,0.0,{0: 2},{0: 2}
82,1,1,0.0,0.0,0.0,{0: 1},{0: 1}
83,0,0,inf,0.0,0.0,{},{}
