Source,Target,Weight
Adelphocoris (Scania),Lotus (Scania),1
Adelphocoris (Scania),Medicago (Scania),1
Adelphocoris (Scania),Trifolium (Scania),1
Adia (Isen_Bjerg_2004),Salix (Isen_Bjerg_2004),3
Adia (SonDoblons),Daucus (SonDoblons),1
Adscita (Berchtesgaden National Park),Campanula (Berchtesgaden National Park),1
Adscita (Lammi),Aegopodium (Lammi),1
Adscita (Miladka),Silene (Miladka),2
Adscita (Miladka),Veronica (Miladka),2
Adscita (Scania),Hypochaeris (Scania),1
Adscita (Scania),Knautia (Scania),2
Adscita (Sierra de Guadarrama),Jasione (Sierra de Guadarrama),2
Afranthidium (Kea),Centaurea (Kea),6
Aglais (Along south-eastern Ireland),Cirsium (Along south-eastern Ireland),1
Aglais (Along south-eastern Ireland),Rubus (Along south-eastern Ireland),1
Aglais (Baisoara),Betonica (Baisoara),1
Aglais (Baisoara),Knautia (Baisoara),1
Aglais (Berchtesgaden National Park),Centaurea (Berchtesgaden National Park),12
Aglais (Berchtesgaden National Park),Cirsium (Berchtesgaden National Park),1
Aglais (Berchtesgaden National Park),Daphne (Berchtesgaden National Park),1
Aglais (Berchtesgaden National Park),Globularia (Berchtesgaden National Park),1
Aglais (Berchtesgaden National Park),Homogyne (Berchtesgaden National Park),1
Aglais (Berchtesgaden National Park),Leontodon (Berchtesgaden National Park),1
Aglais (Berchtesgaden National Park),Primula (Berchtesgaden National Park),1
Aglais (Berchtesgaden National Park),Scabiosa (Berchtesgaden National Park),1
Aglais (Berchtesgaden National Park),Silene (Berchtesgaden National Park),1
Aglais (Canal San Bovo),Buddleja (Canal San Bovo),1
Aglais (Cartigliano),Daucus (Cartigliano),1
Aglais (Dzier_ys_aw),Pentanema (Dzier_ys_aw),17
Aglais (East Leinster (Ireland)),Cirsium (East Leinster (Ireland)),5
Aglais (East Leinster (Ireland)),Jacobaea (East Leinster (Ireland)),1
Aglais (East Leinster (Ireland)),Ligustrum (East Leinster (Ireland)),1
Aglais (East Leinster (Ireland)),Rubus (East Leinster (Ireland)),1
Aglais (Farms in south-east Ireland),Centaurea (Farms in south-east Ireland),1
Aglais (Farms in south-east Ireland),Cirsium (Farms in south-east Ireland),2
Aglais (Farms in south-east Ireland),Rubus (Farms in south-east Ireland),2
Aglais (Ghe_ari Village),Knautia (Ghe_ari Village),2
Aglais (Ghe_ari Village),Sonchus (Ghe_ari Village),3
Aglais (Ghetari),Centaurea (Ghetari),2
Aglais (Ghetari),Leontodon (Ghetari),3
Aglais (Hermanovice),Trifolium (Hermanovice),7
Aglais (Horbylunde_2005),Calluna (Horbylunde_2005),2
Aglais (Imer),Echium (Imer),1
Aglais (Isen_Bjerg_2004),Calluna (Isen_Bjerg_2004),1
Aglais (Isen_Bjerg_2005),Calluna (Isen_Bjerg_2005),4
Aglais (K Handrkovu),Succisa (K Handrkovu),5
Aglais (Mt. Lesima (Brallo di Pregola)),Knautia (Mt. Lesima (Brallo di Pregola)),7
Aglais (NekoÅ),Trifolium (NekoÅ),1
Aglais (Pergine Valsugana),Buddleja (Pergine Valsugana),1
Aglais (Roana),Crepis (Roana),3
Aglais (Roana),Trifolium (Roana),2
Aglais (Scania),Knautia (Scania),1
Aglais (Scania),Viscaria (Scania),1
Aglais (Scarita Belioara),Allium (Scarita Belioara),1
Aglais (Scarita Belioara),Pentanema (Scarita Belioara),1
Aglais (Scarita Belioara),Scabiosa (Scarita Belioara),2
Aglais (Sierra de Guadarrama),Armeria (Sierra de Guadarrama),5
Aglais (Sierra de Guadarrama),Cytisus (Sierra de Guadarrama),2
Aglais (Sierra de Guadarrama),Jasione (Sierra de Guadarrama),52
Aglais (Sierra de Guadarrama),Jurinea (Sierra de Guadarrama),42
Aglais (Sierra de Guadarrama),Leucanthemopsis (Sierra de Guadarrama),1
Aglais (Sierra de Guadarrama),Sedum (Sierra de Guadarrama),1
Aglais (Sierra de Guadarrama),Senecio (Sierra de Guadarrama),1
Aglais (Sierra de Guadarrama),Thymus (Sierra de Guadarrama),11
Agriades (Lammi),Melampyrum (Lammi),1
Agriades (Lammi),Pimpinella (Lammi),1
Agriades (Lammi),Trifolium (Lammi),1
Agriades (PudasjÂrvi),Ranunculus (PudasjÂrvi),1
Agriphila (Lammi),Galium (Lammi),1
Agriphila (Lammi),Pimpinella (Lammi),1
Alliopsis (Berchtesgaden National Park),Euphrasia (Berchtesgaden National Park),1
Alliopsis (Skov_Olesen_2004),Salix (Skov_Olesen_2004),5
Altica (Mt. Lesima (Brallo di Pregola)),Hypericum (Mt. Lesima (Brallo di Pregola)),1
Amata (Andreis),Centaurea (Andreis),1
Amata (Andreis),Scabiosa (Andreis),2
Amata (Fonzaso),Erigeron (Fonzaso),1
Amata (Fonzaso),Saponaria (Fonzaso),1
Amata (Grigno),Buddleja (Grigno),1
Amata (Grigno),Cymbalaria (Grigno),1
Amata (Grigno),Erigeron (Grigno),1
Amata (Grigno),Petrorhagia (Grigno),1
Amata (Pergine Valsugana),Cirsium (Pergine Valsugana),5
Amata (Pergine Valsugana),Hypericum (Pergine Valsugana),2
Amata (Pergine Valsugana),Knautia (Pergine Valsugana),3
Amata (Pergine Valsugana),Lathyrus (Pergine Valsugana),1
Amata (Pergine Valsugana),Melilotus (Pergine Valsugana),1
Amata (Pergine Valsugana),Silene (Pergine Valsugana),1
Amblyteles (SonDoblons),Daucus (SonDoblons),1
Amegilla (Anafi),Ornithogalum (Anafi),1
Amegilla (Anafi),Pseudodictamnus (Anafi),3
Amegilla (Blandas),Lavandula (Blandas),1
Amegilla (CanVolaVola),Salvia (CanVolaVola),1
Amegilla (CanVolaVola),Teucrium (CanVolaVola),1
Amegilla (Canazei),Betonica (Canazei),1
Amegilla (Chios),Genista (Chios),1
Amegilla (Chios),Thymbra (Chios),2
Amegilla (Folegandros),Pseudodictamnus (Folegandros),2
Amegilla (Fontaniva),Teucrium (Fontaniva),4
Amegilla (Kea),Pseudodictamnus (Kea),7
Amegilla (Kea),Vitex (Kea),9
Amegilla (Kythnos),Lysimachia (Kythnos),1
Amegilla (Kythnos),Pseudodictamnus (Kythnos),6
Amegilla (Lesvos),Echium (Lesvos),2
Amegilla (Menorca),Cakile (Menorca),1
Amegilla (Menorca),Carlina (Menorca),1
Amegilla (Menorca),Echium (Menorca),2
Amegilla (Menorca),Galactites (Menorca),1
Amegilla (Menorca),Glaucium (Menorca),1
Amegilla (Menorca),Glebionis (Menorca),1
Amegilla (Menorca),Lotus (Menorca),1
Amegilla (Menorca),Malva (Menorca),1
Amegilla (Menorca),Teucrium (Menorca),8
Amegilla (jezÃ­rko u Vesele),Linaria (jezÃ­rko u Vesele),2
Amictus (Chios),Thymbra (Chios),1
Amictus (Kea),Centaurea (Kea),1
Ammophila (Bonares),Thymus (Bonares),6
Ammophila (Borgo Valsugana),Erigeron (Borgo Valsugana),1
Ammophila (Canal San Bovo),Mentha (Canal San Bovo),1
Ammophila (Cartigliano),Sedum (Cartigliano),2
Ammophila (Convento_de_la_luz),Cistus (Convento_de_la_luz),3
Ammophila (Isen_Bjerg_2004),Galium (Isen_Bjerg_2004),3
Ammophila (Isen_Bjerg_2005),Calluna (Isen_Bjerg_2005),9
Ammophila (Isen_Bjerg_2005),Erica (Isen_Bjerg_2005),15
Ammophila (Isen_Bjerg_2005),Potentilla (Isen_Bjerg_2005),1
Ammophila (Isen_Bjerg_2005),Solidago (Isen_Bjerg_2005),18
Ampedus (Isen_Bjerg_2005),Galium (Isen_Bjerg_2005),1
Anarta (Horbylunde_2005),Calluna (Horbylunde_2005),1
Anarta (Isen_Bjerg_2004),Erica (Isen_Bjerg_2004),29
Anarta (Isen_Bjerg_2005),Calluna (Isen_Bjerg_2005),1
Anarta (Isen_Bjerg_2005),Erica (Isen_Bjerg_2005),7
Anarta (Isen_Bjerg_2005),Salix (Isen_Bjerg_2005),3
Anarta (Isen_Bjerg_2005),Vaccinium (Isen_Bjerg_2005),1
Anarta (Skov_Olesen_2004),Erica (Skov_Olesen_2004),1
Anasimyia (KittilÂ),Stellaria (KittilÂ),1
Anaspis (Muro),Daucus (Muro),1
Anaspis (Muro),Urospermum (Muro),1
Anaspis (Skov_Olesen_2004),Vaccinium (Skov_Olesen_2004),1
Anaspis (SonDoblons),Cistus (SonDoblons),1
Anaspis (sHeretat),Cistus (sHeretat),1
Anaspis (sHeretat),Daucus (sHeretat),27
Ancistrocerus (Allika),Melampyrum (Allika),2
Ancistrocerus (Bonares),Thapsia (Bonares),1
Ancistrocerus (Cabrera),Heliotropium (Cabrera),1
Ancistrocerus (Cabrera),Withania (Cabrera),3
Ancistrocerus (CanRefila),Cistus (CanRefila),1
Ancistrocerus (Coimbra),Abutilon (Coimbra),11
Ancistrocerus (Coimbra),Crataegus (Coimbra),25
Ancistrocerus (Coimbra),Erica (Coimbra),14
Ancistrocerus (Coimbra),Physocarpus (Coimbra),7
Ancistrocerus (Coimbra),Wisteria (Coimbra),2
Ancistrocerus (EsCabanells),Cistus (EsCabanells),1
Ancistrocerus (Isen_Bjerg_2005),Erica (Isen_Bjerg_2005),2
Ancistrocerus (Menorca),Cakile (Menorca),1
Ancistrocerus (Menorca),Calystegia (Menorca),1
Ancistrocerus (Menorca),Daucus (Menorca),1
Ancistrocerus (Menorca),Euphorbia (Menorca),2
Ancistrocerus (Menorca),Helichrysum (Menorca),1
Ancistrocerus (Menorca),Malva (Menorca),1
Ancistrocerus (Menorca),Santolina (Menorca),1
Ancistrocerus (Menorca),Teucrium (Menorca),1
Ancistrocerus (Menorca),Thymelaea (Menorca),1
Ancistrocerus (Pino_del_cuervo),Cistus (Pino_del_cuervo),1
Ancistrocerus (SonMutNou),Allium (SonMutNou),1
Ancistrocerus (UIB),Euphorbia (UIB),1
Ancistrocerus (sHeretat),Calicotome (sHeretat),1
Ancistrocerus (sHeretat),Cistus (sHeretat),1
Ancylolomia (Ghe_ari Village),Campanula (Ghe_ari Village),1
Andrena (Allersdorf),Leontodon (Allersdorf),1
Andrena (AloeVera),Cistus (AloeVera),2
Andrena (Along south-eastern Ireland),Daucus (Along south-eastern Ireland),1
Andrena (Along south-eastern Ireland),Heracleum (Along south-eastern Ireland),2
Andrena (Anafi),Crepis (Anafi),3
Andrena (Anafi),Echinops (Anafi),1
Andrena (Anafi),Glebionis (Anafi),9
Andrena (Anafi),Helichrysum (Anafi),1
Andrena (Anafi),Hirschfeldia (Anafi),1
Andrena (Anafi),Ornithogalum (Anafi),2
Andrena (Anafi),Petrosedum (Anafi),1
Andrena (Anafi),Senecio (Anafi),1
Andrena (Anafi),Sinapis (Anafi),1
Andrena (Anderlues),Crepis (Anderlues),1
Andrena (Anderlues),Jacobaea (Anderlues),1
Andrena (Anderlues),Melilotus (Anderlues),1
Andrena (Antoing),Daucus (Antoing),2
Andrena (Aschersleben),Aegopodium (Aschersleben),2
Andrena (Aschersleben),Astrantia (Aschersleben),2
Andrena (Aschersleben),Bellis (Aschersleben),4
Andrena (Aschersleben),Chaerophyllum (Aschersleben),1
Andrena (Aschersleben),Cornus (Aschersleben),4
Andrena (Aschersleben),Geranium (Aschersleben),1
Andrena (Aschersleben),Medicago (Aschersleben),1
Andrena (Aschersleben),Scabiosa (Aschersleben),1
Andrena (Aschersleben),Trifolium (Aschersleben),1
Andrena (Aznalcazar),Cistus (Aznalcazar),6
Andrena (Badesti),Achillea (Badesti),1
Andrena (Badesti),Anthriscus (Badesti),2
Andrena (Badesti),Lotus (Badesti),1
Andrena (Badesti),Ononis (Badesti),1
Andrena (Baisoara),Knautia (Baisoara),1
Andrena (Barai),Coronilla (Barai),1
Andrena (Barai),Medicago (Barai),1
Andrena (Barai),Pentanema (Barai),1
Andrena (Barai),Seseli (Barai),3
Andrena (Bassano del Grappa),Erigeron (Bassano del Grappa),1
Andrena (Bassano del Grappa),Matricaria (Bassano del Grappa),1
Andrena (Bassano del Grappa),Torilis (Bassano del Grappa),1
Andrena (Beloeil),Cirsium (Beloeil),3
Andrena (Berchtesgaden National Park),Biscutella (Berchtesgaden National Park),1
Andrena (Berchtesgaden National Park),Cardamine (Berchtesgaden National Park),1
Andrena (Berchtesgaden National Park),Potentilla (Berchtesgaden National Park),1
Andrena (Berchtesgaden National Park),Taraxacum (Berchtesgaden National Park),1
Andrena (Berchtesgaden National Park),Tussilago (Berchtesgaden National Park),5
Andrena (Bindlacher Berg),Leontodon (Bindlacher Berg),1
Andrena (Bindlacher Berg),Trifolium (Bindlacher Berg),1
Andrena (Bindlacher Berg),Veronica (Bindlacher Berg),1
Andrena (Blandas),Anthyllis (Blandas),8
Andrena (Blandas),Astragalus (Blandas),2
Andrena (Blandas),Biscutella (Blandas),5
Andrena (Blandas),Brassica (Blandas),1
Andrena (Blandas),Buxus (Blandas),22
Andrena (Blandas),Crepis (Blandas),7
Andrena (Blandas),Eryngium (Blandas),1
Andrena (Blandas),Globularia (Blandas),4
Andrena (Blandas),Helianthemum (Blandas),10
Andrena (Blandas),Helichrysum (Blandas),7
Andrena (Blandas),Knautia (Blandas),1
Andrena (Blandas),Linum (Blandas),1
Andrena (Blandas),Lotus (Blandas),2
Andrena (Blandas),Onosma (Blandas),1
Andrena (Blandas),Orchis (Blandas),1
Andrena (Blandas),Ornithogalum (Blandas),1
Andrena (Blandas),Phyteuma (Blandas),1
Andrena (Blandas),Polygala (Blandas),1
Andrena (Blandas),Potentilla (Blandas),12
Andrena (Blandas),Prunus (Blandas),26
Andrena (Blandas),Pyrus (Blandas),2
Andrena (Blandas),Ranunculus (Blandas),11
Andrena (Blandas),Reseda (Blandas),2
Andrena (Blandas),Ribes (Blandas),1
Andrena (Blandas),Salvia (Blandas),1
Andrena (Blandas),Thymus (Blandas),4
Andrena (Blandas),Torilis (Blandas),1
Andrena (Bonares),Andryala (Bonares),2
Andrena (Bonares),Cistus (Bonares),11
Andrena (Bonares),Thapsia (Bonares),2
Andrena (Bonares),Thymus (Bonares),3
Andrena (Borgo Valsugana),Achillea (Borgo Valsugana),1
Andrena (Borgo Valsugana),Anthyllis (Borgo Valsugana),2
Andrena (Borgo Valsugana),Knautia (Borgo Valsugana),1
Andrena (Borgo Valsugana),Trifolium (Borgo Valsugana),1
Andrena (Borgoricco),Bellis (Borgoricco),2
Andrena (Borgoricco),Cirsium (Borgoricco),21
Andrena (Borgoricco),Crepis (Borgoricco),1
Andrena (Borgoricco),Daucus (Borgoricco),2
Andrena (Borgoricco),Erigeron (Borgoricco),19
Andrena (Borgoricco),Hypochaeris (Borgoricco),1
Andrena (Borgoricco),Matricaria (Borgoricco),16
Andrena (Borgoricco),Medicago (Borgoricco),6
Andrena (Borgoricco),Oenanthe (Borgoricco),6
Andrena (Borgoricco),Oxalis (Borgoricco),1
Andrena (Borgoricco),Potentilla (Borgoricco),61
Andrena (Borgoricco),Torilis (Borgoricco),11
Andrena (Borgoricco),Trifolium (Borgoricco),45
Andrena (Borsa-Catun),Betonica (Borsa-Catun),1
Andrena (Borsa-Catun),Centaurea (Borsa-Catun),1
Andrena (Borsa-Catun),Coronilla (Borsa-Catun),1
Andrena (Borsa-Catun),Jacobaea (Borsa-Catun),1
Andrena (Borsa-Catun),Onobrychis (Borsa-Catun),1
Andrena (Borsa-Catun),Xeranthemum (Borsa-Catun),1
Andrena (Bosco Chiesanuova),Sedum (Bosco Chiesanuova),1
Andrena (Boussu),Centaurea (Boussu),1
Andrena (Boussu),Leucanthemum (Boussu),1
Andrena (Boussu),Lotus (Boussu),3
Andrena (Boussu),Melilotus (Boussu),10
Andrena (Braine-le-Comte),Calluna (Braine-le-Comte),7
Andrena (Braine-le-Comte),Ranunculus (Braine-le-Comte),1
Andrena (Buch),Crepis (Buch),1
Andrena (Buch),Taraxacum (Buch),3
Andrena (Buch),Torilis (Buch),2
Andrena (Buch),Trifolium (Buch),1
Andrena (Buch),Veronica (Buch),1
Andrena (Bulach),Anthyllis (Bulach),1
Andrena (Bulach),Crepis (Bulach),3
Andrena (Bulach),Ranunculus (Bulach),1
Andrena (Bulach),Taraxacum (Bulach),11
Andrena (Bulach),Trifolium (Bulach),4
Andrena (Camisano Vicentino),Bryonia (Camisano Vicentino),21
Andrena (Camisano Vicentino),Cirsium (Camisano Vicentino),1
Andrena (Camisano Vicentino),Crepis (Camisano Vicentino),1
Andrena (Camisano Vicentino),Daucus (Camisano Vicentino),40
Andrena (Camisano Vicentino),Erigeron (Camisano Vicentino),17
Andrena (Camisano Vicentino),Lotus (Camisano Vicentino),4
Andrena (Camisano Vicentino),Medicago (Camisano Vicentino),9
Andrena (Camisano Vicentino),Melilotus (Camisano Vicentino),45
Andrena (Camisano Vicentino),Potentilla (Camisano Vicentino),3
Andrena (Camisano Vicentino),Rorippa (Camisano Vicentino),2
Andrena (Camisano Vicentino),Senecio (Camisano Vicentino),6
Andrena (Camisano Vicentino),Sonchus (Camisano Vicentino),1
Andrena (Camisano Vicentino),Torilis (Camisano Vicentino),15
Andrena (Camisano Vicentino),Trifolium (Camisano Vicentino),16
Andrena (Camisano Vicentino),Verbascum (Camisano Vicentino),1
Andrena (CanRefila),Asphodelus (CanRefila),4
Andrena (CanRefila),Cistus (CanRefila),8
Andrena (CanVolaVola),Teucrium (CanVolaVola),8
Andrena (CanVolaVola),Tuberaria (CanVolaVola),1
Andrena (Canal San Bovo),Vicia (Canal San Bovo),1
Andrena (Cap de Creus Natural Park),Carpobrotus (Cap de Creus Natural Park),3
Andrena (Cap de Creus Natural Park),Cistus (Cap de Creus Natural Park),41
Andrena (Cap de Creus Natural Park),Galactites (Cap de Creus Natural Park),1
Andrena (Cap de Creus Natural Park),Lavandula (Cap de Creus Natural Park),1
Andrena (Cap de Creus Natural Park),Lobularia (Cap de Creus Natural Park),1
Andrena (Cap de Creus Natural Park),Sonchus (Cap de Creus Natural Park),32
Andrena (Cap de Creus Natural Park),Thymelaea (Cap de Creus Natural Park),1
Andrena (Cap de Creus Natural Park),Urospermum (Cap de Creus Natural Park),2
Andrena (Cap de Creus Natural Park),Vicia (Cap de Creus Natural Park),1
Andrena (CarrerBetlem),Cistus (CarrerBetlem),16
Andrena (Charleroi),Crepis (Charleroi),1
Andrena (Charleroi),Medicago (Charleroi),1
Andrena (Charleroi),Onobrychis (Charleroi),3
Andrena (Cheile Turzii),Anthericum (Cheile Turzii),2
Andrena (Chios),Anthemis (Chios),6
Andrena (Chios),Brassica (Chios),2
Andrena (Chios),Cistus (Chios),10
Andrena (Chios),Crepis (Chios),8
Andrena (Chios),Daucus (Chios),25
Andrena (Chios),Genista (Chios),3
Andrena (Chios),Helichrysum (Chios),2
Andrena (Chios),Hypochaeris (Chios),2
Andrena (Chios),Leontodon (Chios),9
Andrena (Chios),Origanum (Chios),4
Andrena (Chios),Pimpinella (Chios),25
Andrena (Chios),Sonchus (Chios),1
Andrena (Chios),Thymbra (Chios),4
Andrena (Chize),Centaurea (Chize),1
Andrena (Chize),Cichorium (Chize),6
Andrena (Chize),Cirsium (Chize),4
Andrena (Chize),Crepis (Chize),7
Andrena (Chize),Falcaria (Chize),4
Andrena (Chize),Geranium (Chize),1
Andrena (Chize),Helminthotheca (Chize),3
Andrena (Chize),Jacobaea (Chize),11
Andrena (Chize),Knautia (Chize),2
Andrena (Chize),Leucanthemum (Chize),8
Andrena (Chize),Lotus (Chize),1
Andrena (Chize),Malva (Chize),1
Andrena (Chize),Medicago (Chize),12
Andrena (Chize),Picris (Chize),1
Andrena (Chize),Reseda (Chize),4
Andrena (Chize),Torilis (Chize),14
Andrena (Chize),Trifolium (Chize),7
Andrena (Ciply),Heracleum (Ciply),8
Andrena (Ciply),Lapsana (Ciply),7
Andrena (Coimbra),Crataegus (Coimbra),47
Andrena (Coimbra),Cydonia (Coimbra),15
Andrena (Coimbra),Deutzia (Coimbra),18
Andrena (Coimbra),Erica (Coimbra),3
Andrena (Coimbra),Eriolarynx (Coimbra),3
Andrena (Coimbra),Lantana (Coimbra),7
Andrena (Coimbra),Oxalis (Coimbra),4
Andrena (Coimbra),Philadelphus (Coimbra),49
Andrena (Coimbra),Plumbago (Coimbra),1
Andrena (Coimbra),Prunus (Coimbra),14
Andrena (Coimbra),Spiraea (Coimbra),13
Andrena (Colfontaine),Tanacetum (Colfontaine),4
Andrena (Coltesti),Coronilla (Coltesti),2
Andrena (Coltesti),Erigeron (Coltesti),1
Andrena (Coltesti),Knautia (Coltesti),4
Andrena (Coltesti),Seseli (Coltesti),1
Andrena (Coltesti),Trifolium (Coltesti),3
Andrena (Cordenons),Plantago (Cordenons),1
Andrena (Costabissara),Campanula (Costabissara),2
Andrena (Costabissara),Geranium (Costabissara),1
Andrena (Costabissara),Knautia (Costabissara),3
Andrena (Costabissara),Lotus (Costabissara),1
Andrena (Costabissara),Medicago (Costabissara),1
Andrena (Costabissara),Potentilla (Costabissara),1
Andrena (Costabissara),Trifolium (Costabissara),4
Andrena (Cotito_de_santa_teresa),Lavandula (Cotito_de_santa_teresa),1
Andrena (CÃ´te d'or),Anthriscus (CÃ´te d'or),1
Andrena (CÃ´te d'or),Aurinia (CÃ´te d'or),1
Andrena (CÃ´te d'or),Barbarea (CÃ´te d'or),1
Andrena (CÃ´te d'or),Bellis (CÃ´te d'or),8
Andrena (CÃ´te d'or),Brassica (CÃ´te d'or),65
Andrena (CÃ´te d'or),Bryonia (CÃ´te d'or),1
Andrena (CÃ´te d'or),Chelidonium (CÃ´te d'or),1
Andrena (CÃ´te d'or),Cirsium (CÃ´te d'or),9
Andrena (CÃ´te d'or),Cornus (CÃ´te d'or),2
Andrena (CÃ´te d'or),Daucus (CÃ´te d'or),3
Andrena (CÃ´te d'or),Eschscholzia (CÃ´te d'or),3
Andrena (CÃ´te d'or),Euphorbia (CÃ´te d'or),1
Andrena (CÃ´te d'or),Fragaria (CÃ´te d'or),2
Andrena (CÃ´te d'or),Galium (CÃ´te d'or),1
Andrena (CÃ´te d'or),Geranium (CÃ´te d'or),2
Andrena (CÃ´te d'or),Helminthotheca (CÃ´te d'or),1
Andrena (CÃ´te d'or),Hypochaeris (CÃ´te d'or),3
Andrena (CÃ´te d'or),Lathyrus (CÃ´te d'or),1
Andrena (CÃ´te d'or),Lonicera (CÃ´te d'or),1
Andrena (CÃ´te d'or),Matricaria (CÃ´te d'or),4
Andrena (CÃ´te d'or),Medicago (CÃ´te d'or),1
Andrena (CÃ´te d'or),Papaver (CÃ´te d'or),1
Andrena (CÃ´te d'or),Philadelphus (CÃ´te d'or),1
Andrena (CÃ´te d'or),Photinia (CÃ´te d'or),4
Andrena (CÃ´te d'or),Picris (CÃ´te d'or),1
Andrena (CÃ´te d'or),Rabelera (CÃ´te d'or),3
Andrena (CÃ´te d'or),Ranunculus (CÃ´te d'or),2
Andrena (CÃ´te d'or),Salix (CÃ´te d'or),2
Andrena (CÃ´te d'or),Sherardia (CÃ´te d'or),2
Andrena (CÃ´te d'or),Stellaria (CÃ´te d'or),2
Andrena (CÃ´te d'or),Torilis (CÃ´te d'or),3
Andrena (CÃ´te d'or),Trifolium (CÃ´te d'or),24
Andrena (CÃ´te d'or),Veronica (CÃ´te d'or),24
Andrena (CÃ´te d'or),Vicia (CÃ´te d'or),1
Andrena (Dour),Melilotus (Dour),4
Andrena (Dzier_ys_aw),Pentanema (Dzier_ys_aw),3
Andrena (East Leinster (Ireland)),Anthriscus (East Leinster (Ireland)),1
Andrena (East Leinster (Ireland)),Buddleja (East Leinster (Ireland)),1
Andrena (East Leinster (Ireland)),Crataegus (East Leinster (Ireland)),3
Andrena (East Leinster (Ireland)),Heracleum (East Leinster (Ireland)),2
Andrena (East Leinster (Ireland)),Smyrnium (East Leinster (Ireland)),1
Andrena (East Leinster (Ireland)),Trifolium (East Leinster (Ireland)),2
Andrena (East Leinster (Ireland)),Veronica (East Leinster (Ireland)),1
Andrena (East Leinster (Ireland)),Viburnum (East Leinster (Ireland)),1
Andrena (East Leinster (Ireland)),Vicia (East Leinster (Ireland)),1
Andrena (El_pinar),Cistus (El_pinar),3
Andrena (El_pinar),Salvia (El_pinar),2
Andrena (El_pozo),Cistus (El_pozo),2
Andrena (Endingen),Medicago (Endingen),2
Andrena (Endingen),Taraxacum (Endingen),7
Andrena (Endingen),Trifolium (Endingen),2
Andrena (EsCabanells),Cistus (EsCabanells),1
Andrena (EsCapdella),Cistus (EsCapdella),4
Andrena (EsCapdella),Daucus (EsCapdella),3
Andrena (EsCapdella),Euphorbia (EsCapdella),1
Andrena (EsCapdella),Lotus (EsCapdella),1
Andrena (EsCapdella),Reichardia (EsCapdella),2
Andrena (EsCapdella),Reseda (EsCapdella),1
Andrena (EsCapdella),Teucrium (EsCapdella),1
Andrena (Esporles),Asphodelus (Esporles),3
Andrena (Farms in south-east Ireland),Bellis (Farms in south-east Ireland),3
Andrena (Farms in south-east Ireland),Leontodon (Farms in south-east Ireland),3
Andrena (Farms in south-east Ireland),Pimpinella (Farms in south-east Ireland),2
Andrena (Farms in south-east Ireland),Potentilla (Farms in south-east Ireland),12
Andrena (Farms in south-east Ireland),Ranunculus (Farms in south-east Ireland),1
Andrena (Fonzaso),Pilosella (Fonzaso),1
Andrena (Fonzaso),Rorippa (Fonzaso),8
Andrena (Frick),Crepis (Frick),2
Andrena (Frick),Ranunculus (Frick),1
Andrena (Frick),Taraxacum (Frick),1
Andrena (Frick),Trifolium (Frick),3
Andrena (Friedeburg),Arenaria (Friedeburg),1
