Id,Order,Family,Genus,Country,Locality,Bioregion,Type
Verbena officinalis (Spiennes),Lamiales,Verbenaceae,Verbena,Belgium,Spiennes,Atlantic,Plant
Ranunculus acris (Spiennes),Ranunculales,Ranunculaceae,Ranunculus,Belgium,Spiennes,Atlantic,Plant
Trifolium repens (Spiennes),Fabales,Fabaceae,Trifolium,Belgium,Spiennes,Atlantic,Plant
Achillea millefolium (Spiennes),Asterales,Asteraceae,Achillea,Belgium,Spiennes,Atlantic,Plant
Arctium tomentosum (Spiennes),Asterales,Asteraceae,Arctium,Belgium,Spiennes,Atlantic,Plant
Tanacetum vulgare (Spiennes),Asterales,Asteraceae,Tanacetum,Belgium,Spiennes,Atlantic,Plant
Ballota nigra (Spiennes),Lamiales,Lamiaceae,Ballota,Belgium,Spiennes,Atlantic,Plant
Cirsium vulgare (Spiennes),Asterales,Asteraceae,Cirsium,Belgium,Spiennes,Atlantic,Plant
Cirsium arvense (Spiennes),Asterales,Asteraceae,Cirsium,Belgium,Spiennes,Atlantic,Plant
Trifolium pratense (Spiennes),Fabales,Fabaceae,Trifolium,Belgium,Spiennes,Atlantic,Plant
Carduus crispus (Spiennes),Asterales,Asteraceae,Carduus,Belgium,Spiennes,Atlantic,Plant
Symphytum officinale (Spiennes),Boraginales,Boraginaceae,Symphytum,Belgium,Spiennes,Atlantic,Plant
Ranunculus repens (Spiennes),Ranunculales,Ranunculaceae,Ranunculus,Belgium,Spiennes,Atlantic,Plant
Melilotus officinalis (Harmignies),Fabales,Fabaceae,Melilotus,Belgium,Harmignies,Atlantic,Plant
Buddleja davidii (Harmignies),Lamiales,Scrophulariaceae,Buddleja,Belgium,Harmignies,Atlantic,Plant
Lathyrus latifolius (Harmignies),Fabales,Fabaceae,Lathyrus,Belgium,Harmignies,Atlantic,Plant
Eupatorium cannabinum (Harmignies),Asterales,Asteraceae,Eupatorium,Belgium,Harmignies,Atlantic,Plant
Linaria vulgaris (Harmignies),Lamiales,Plantaginaceae,Linaria,Belgium,Harmignies,Atlantic,Plant
Hypericum perforatum (Harmignies),Malpighiales,Hypericaceae,Hypericum,Belgium,Harmignies,Atlantic,Plant
Picris hieracioides (Harmignies),Asterales,Asteraceae,Picris,Belgium,Harmignies,Atlantic,Plant
