Id,Country,Locality,Bioregion,Latitude,Longitude,Type
Apiales (Chios),Greece,Chios,Mediterranean,38.2557,26.0866,Plant
Fabales (Chios),Greece,Chios,Mediterranean,38.2557,26.0866,Plant
Asparagales (Chios),Greece,Chios,Mediterranean,38.2557,26.0866,Plant
Asterales (Chios),Greece,Chios,Mediterranean,38.2557,26.0866,Plant
Lamiales (Chios),Greece,Chios,Mediterranean,38.2557,26.0866,Plant
Boraginales (Chios),Greece,Chios,Mediterranean,38.2557,26.0866,Plant
Brassicales (Chios),Greece,Chios,Mediterranean,38.2557,26.0866,Plant
Malvales (Chios),Greece,Chios,Mediterranean,38.2557,26.0866,Plant
Apiales (Chios),Greece,Chios,Mediterranean,38.2762,26.0163,Plant
Asterales (Chios),Greece,Chios,Mediterranean,38.2762,26.0163,Plant
Malvales (Chios),Greece,Chios,Mediterranean,38.2762,26.0163,Plant
Lamiales (Chios),Greece,Chios,Mediterranean,38.2762,26.0163,Plant
Fabales (Chios),Greece,Chios,Mediterranean,38.2762,26.0163,Plant
Dipsacales (Chios),Greece,Chios,Mediterranean,38.2762,26.0163,Plant
Malpighiales (Chios),Greece,Chios,Mediterranean,38.2762,26.0163,Plant
Brassicales (Chios),Greece,Chios,Mediterranean,38.2762,26.0163,Plant
Gentianales (Chios),Greece,Chios,Mediterranean,38.2762,26.0163,Plant
Geraniales (Spiennes),Belgium,Spiennes,Atlantic,50.4214,3.9859,Plant
Rosales (Spiennes),Belgium,Spiennes,Atlantic,50.4214,3.9859,Plant
Lamiales (Spiennes),Belgium,Spiennes,Atlantic,50.4214,3.9859,Plant
Ranunculales (Spiennes),Belgium,Spiennes,Atlantic,50.4214,3.9859,Plant
Fabales (Spiennes),Belgium,Spiennes,Atlantic,50.4214,3.9859,Plant
Asterales (Spiennes),Belgium,Spiennes,Atlantic,50.4214,3.9859,Plant
Boraginales (Spiennes),Belgium,Spiennes,Atlantic,50.4214,3.9859,Plant
Fabales (Harmignies),Belgium,Harmignies,Atlantic,50.4118,4.0187,Plant
Lamiales (Harmignies),Belgium,Harmignies,Atlantic,50.4118,4.0187,Plant
Asterales (Harmignies),Belgium,Harmignies,Atlantic,50.4118,4.0187,Plant
Malpighiales (Harmignies),Belgium,Harmignies,Atlantic,50.4118,4.0187,Plant
Apiales (Harmignies),Belgium,Harmignies,Atlantic,50.4118,4.0187,Plant
Rosales (Harmignies),Belgium,Harmignies,Atlantic,50.4118,4.0187,Plant
Brassicales (Mons),Belgium,Mons,Atlantic,50.4498,4.0607,Plant
Geraniales (Mons),Belgium,Mons,Atlantic,50.4498,4.0607,Plant
Solanales (Mons),Belgium,Mons,Atlantic,50.4498,4.0607,Plant
Fabales (Mons),Belgium,Mons,Atlantic,50.4498,4.0607,Plant
Lamiales (Mons),Belgium,Mons,Atlantic,50.4498,4.0607,Plant
Rosales (Mons),Belgium,Mons,Atlantic,50.4498,4.0607,Plant
Caryophyllales (Mons),Belgium,Mons,Atlantic,50.4498,4.0607,Plant
Fabales (Havré),Belgium,Havré,Atlantic,50.4563,4.0124,Plant
Lamiales (Havré),Belgium,Havré,Atlantic,50.4563,4.0124,Plant
Apiales (Havré),Belgium,Havré,Atlantic,50.4563,4.0124,Plant
Asterales (Havré),Belgium,Havré,Atlantic,50.4563,4.0124,Plant
Boraginales (Havré),Belgium,Havré,Atlantic,50.4563,4.0124,Plant
Caryophyllales (Havré),Belgium,Havré,Atlantic,50.4563,4.0124,Plant
Myrtales (Beloeil),Belgium,Beloeil,Atlantic,50.531,3.6422,Plant
Asterales (Beloeil),Belgium,Beloeil,Atlantic,50.531,3.6422,Plant
Malpighiales (Beloeil),Belgium,Beloeil,Atlantic,50.531,3.6422,Plant
Ranunculales (Beloeil),Belgium,Beloeil,Atlantic,50.531,3.6422,Plant
Rosales (Beloeil),Belgium,Beloeil,Atlantic,50.531,3.6422,Plant
Lamiales (Beloeil),Belgium,Beloeil,Atlantic,50.531,3.6422,Plant
Fabales (Beloeil),Belgium,Beloeil,Atlantic,50.531,3.6422,Plant
Rosales (Bernissart),Belgium,Bernissart,Atlantic,50.49289,3.67194,Plant
Fabales (Bernissart),Belgium,Bernissart,Atlantic,50.49289,3.67194,Plant
Boraginales (Bernissart),Belgium,Bernissart,Atlantic,50.49289,3.67194,Plant
Brassicales (Bernissart),Belgium,Bernissart,Atlantic,50.49289,3.67194,Plant
Malpighiales (Bernissart),Belgium,Bernissart,Atlantic,50.49289,3.67194,Plant
Ericales (Bernissart),Belgium,Bernissart,Atlantic,50.49289,3.67194,Plant
Asterales (Spiennes),Belgium,Spiennes,Atlantic,50.4162,3.9987,Plant
Brassicales (Spiennes),Belgium,Spiennes,Atlantic,50.4162,3.9987,Plant
Lamiales (Spiennes),Belgium,Spiennes,Atlantic,50.4162,3.9987,Plant
Asterales (Harmignies),Belgium,Harmignies,Atlantic,50.4134,4.0058,Plant
Dipsacales (Harmignies),Belgium,Harmignies,Atlantic,50.4134,4.0058,Plant
Boraginales (Harmignies),Belgium,Harmignies,Atlantic,50.4134,4.0058,Plant
Ranunculales (Harmignies),Belgium,Harmignies,Atlantic,50.4134,4.0058,Plant
Lamiales (Harmignies),Belgium,Harmignies,Atlantic,50.4134,4.0058,Plant
Brassicales (Harmignies),Belgium,Harmignies,Atlantic,50.4134,4.0058,Plant
Malpighiales (Harmignies),Belgium,Harmignies,Atlantic,50.4134,4.0058,Plant
Asterales (Hyon),Belgium,Hyon,Atlantic,50.4378,3.967,Plant
Caryophyllales (Hyon),Belgium,Hyon,Atlantic,50.4378,3.967,Plant
Fabales (Hyon),Belgium,Hyon,Atlantic,50.4378,3.967,Plant
Lamiales (Hyon),Belgium,Hyon,Atlantic,50.4378,3.967,Plant
Malvales (Hyon),Belgium,Hyon,Atlantic,50.4378,3.967,Plant
Apiales (Hyon),Belgium,Hyon,Atlantic,50.4378,3.967,Plant
Asterales (Havré),Belgium,Havré,Atlantic,50.4645,4.0392,Plant
Lamiales (Havré),Belgium,Havré,Atlantic,50.4645,4.0392,Plant
Fabales (Havré),Belgium,Havré,Atlantic,50.4645,4.0392,Plant
Dipsacales (Havré),Belgium,Havré,Atlantic,50.4645,4.0392,Plant
Myrtales (Havré),Belgium,Havré,Atlantic,50.4645,4.0392,Plant
Geraniales (Havré),Belgium,Havré,Atlantic,50.4645,4.0392,Plant
Rosales (Havré),Belgium,Havré,Atlantic,50.4645,4.0392,Plant
Apiales (Havré),Belgium,Havré,Atlantic,50.4645,4.0392,Plant
Asterales (Péruwelz),Belgium,Péruwelz,Atlantic,50.523,3.6099,Plant
Fabales (Péruwelz),Belgium,Péruwelz,Atlantic,50.523,3.6099,Plant
Geraniales (Péruwelz),Belgium,Péruwelz,Atlantic,50.523,3.6099,Plant
Ranunculales (Péruwelz),Belgium,Péruwelz,Atlantic,50.523,3.6099,Plant
Brassicales (Péruwelz),Belgium,Péruwelz,Atlantic,50.523,3.6099,Plant
Asterales (Hensies),Belgium,Hensies,Atlantic,50.4486,3.6805,Plant
Malpighiales (Hensies),Belgium,Hensies,Atlantic,50.4486,3.6805,Plant
Boraginales (Hensies),Belgium,Hensies,Atlantic,50.4486,3.6805,Plant
Lamiales (Hensies),Belgium,Hensies,Atlantic,50.4486,3.6805,Plant
Rosales (Hensies),Belgium,Hensies,Atlantic,50.4486,3.6805,Plant
Cornales (Hensies),Belgium,Hensies,Atlantic,50.4486,3.6805,Plant
Fabales (Mons),Belgium,Mons,Atlantic,50.4549,4.0447,Plant
Asterales (Mons),Belgium,Mons,Atlantic,50.4549,4.0447,Plant
Rosales (Mons),Belgium,Mons,Atlantic,50.4549,4.0447,Plant
Asterales (Spienne),Belgium,Spienne,Atlantic,50.4237,3.9818,Plant
Fabales (Spienne),Belgium,Spienne,Atlantic,50.4237,3.9818,Plant
Caryophyllales (Spienne),Belgium,Spienne,Atlantic,50.4237,3.9818,Plant
Apiales (La Louvière),Belgium,La Louvière,Atlantic,50.44297,4.13636,Plant
Asterales (La Louvière),Belgium,La Louvière,Atlantic,50.44297,4.13636,Plant
Rosales (La Louvière),Belgium,La Louvière,Atlantic,50.44297,4.13636,Plant
Malpighiales (La Louvière),Belgium,La Louvière,Atlantic,50.44297,4.13636,Plant
Lamiales (La Louvière),Belgium,La Louvière,Atlantic,50.44297,4.13636,Plant
Solanales (La Louvière),Belgium,La Louvière,Atlantic,50.44297,4.13636,Plant
Asterales (Mons),Belgium,Mons,Atlantic,50.4463,3.9568,Plant
Malvales (Mons),Belgium,Mons,Atlantic,50.4463,3.9568,Plant
